"banner","color"
"Bobs Liquor and Wine","#ff46a3"
"Molly's Spirits","#ffff28"
"King Sooper","#000069"
"Rosauers","#00c3c3"
"Pine Orchard Liquors","#3f7d00"
"Kokoman","#8a14ff"
"Consumer Beverage Outlet","#010101"
"Keg Liquor","#7a7a7a"
"Cox's","#00a5a5"
"WB Liquors","#0066B6"
"Fresco","#f97e00"
"Amazon Prime","#00552b"
"NH Liquor & Wine Outlet","#010101"
"Winestore","#010101"
"Redneck Wine Company","#010101"
"Top Ten Liquors","#010101"
"Lukas Liquors","#5affad"
"Publix Instacart","#010101"
"Grapes and Grains","#010101"
"Aldi","#010101"
"Westbury Liquors","#010101"
"Corks and Kegs","#010101"
"Crazy Bruce","#010101"
"Curtis Liqours","#010101"
"Dixie Lee","#010101"
"Esquin","#010101"
"Grand Vin Wine Merchants","#010101"
"Hop, Grain & Vine","#010101"
"Kelly Liquors","#010101"
"Liquor World","#010101"
"Local Vine","#010101"
"Lucky","#1eff1e"
"Luke's Liquors","#010101"
"Lunardi's","#010101"
"Manchester Liqours","#010101"
"Market Basket","#010101"
"Metropolitan Market","#010101"
"Oake's Farm Seed to Table","#010101"
"Roger Wilco","#010101"
"Susan's","#010101"
"The Fresh Market","#010101"
"The Wine Guy","#010101"
"Tim's Wine Market","#010101"
"Costco_Instacart","#010101"
"Highlands Wine Seller","#010101"
"Aw Shucks","#010101"
"Rouses Market","#010101"
"Martin's Wine Cellar","#010101"
"Costco_Non-comp","#010101"
"Ace Spirits","#010101"
"Sam's Club Instacart","#010101"
"Norcos","#010101"
"Dorignacs","#010101"
"Breaux Mart","#010101"
"Matherne's","#010101"
"Consecos","#010101"
"Basha's","#010101"
"CVS Pharmacy","#010101"
"Circle K","#010101"
"Burris Liquors","#010101"
"Zuppardo's","#010101"
"Total Beverage","#010101"
"Super 1 Foods","#010101"
"Champagne's Market","#010101"
"A&A Wine and Spirits","#010101"
"Sarasota Wine & Spirits","#010101"
"Giant Eagle","#010101"
"Kindred Spirits","#010101"
"Lakeview Grocery","#010101"
"Ideal Market","#010101"
"Piggly Wiggly","#010101"
"Vine & Table","#010101"
"Kahn's Fine Wines & Spirits","#010101"
"Grapevine Cottage","#010101"
"21st Amendment Wine and Spirits","#010101"
"Big Red Liquors","#010101"
"Payless Liquors","#010101"
"LAX Wine & Spirits","#010101"
"Robert Fresh Market","#010101"
"Amazon Fresh","#010101"
"Fresh Thyme","#010101"
"Market District","#010101"
"Maximum Beverage","#010101"
"M & R Liquors","#010101"
"Checkers Discount Liquors & Wine","#010101"
"Festival Foods","#010101"
"State Line Liquors","#010101"
"Buyrite Liquors","#010101"
"Acquistapace's","#010101"
"Roswell Beverage","#010101"
"Red's","#010101"
"Mega-bev","#010101"
"Beer City","#010101"
"Rishi's International Beverage","#010101"
"Forest Hills Foods","#010101"
"Martha's Vineyard","#010101"
"D&W Fresh Market","#010101"
"Lunds & Byerly's","#010101"
"Party Liquors and Fine Wines","#010101"
"LARA","#010101"
"Circus Wines","#010101"
"Calandro's","#010101"
"One Stop Liquors","#010101"
"Wally's","#010101"
"Park Plaza Liquor & Deli","#010101"
"Frugal McDougal","#010101"
"Cool Springs Wine & Spirits","#010101"
"A&L Wine Castle","#010101"
"Plum Market","#010101"
"CorksDorksWine","#010101"
"The Wine Garden","#010101"
"7 Eleven","#010101"
"Rumson Wine and Spirits","#010101"
"Sea Bright Wine And Spirits","#010101"
"Vingo","#010101"
"Trevor's Liquor","#010101"
"Busch's","#010101"
"Bin52","#010101"
"LAX","#010101"
"Wine World","#010101"
"Richey's East","#010101"
"CT Beverage Mart","#010101"
"Ryann's Wines","#010101"
"Cottage Hill Package Store","#010101"
"BNC","#010101"
"Arrow Liquormart","#010101"
"Wine & Beverage Depot","#010101"
"Little Falls Liquors","#010101"
"Fresh Market","#010101"
"Towne Spirits and Fine Wine","#010101"
"Market Square Liquors and Fine Wine","#010101"
"Feldmans","#010101"
"GoPuff Liquor & More","#010101"
"Big Daddy's Wine & Liquor","#010101"
"Bevy's Liquor World","#010101"
"G-Will Liquors","#010101"
"McFarland Wine & Spirits","#010101"
"Nielsen","#010101"
"Costco Same-Day","#010101"
"Plaza Liquor Mart","#010101"
"Dedham Line Liquor","#010101"
"All Time Wine & Spirits","#010101"
"Publix Liquors","#010101"
"Red X","#010101"
"Price Chopper","#010101"
"Pina Wine & Spirits","#010101"
"Gomer's","#010101"
"Cellar Rat","#010101"
"Prime Wine Cellar","#010101"
"Bottle Barn","#010101"
"Ocean Wine & Spirits","#010101"
"Primo Lquors","#010101"
"The Lqiuor Cabinet","#010101"
"Jacob Liquor Exchange","#010101"
"JT's Liquor","#010101"
"Grove's Liquor","#010101"
"R&J Discount Liquor","#010101"
"Auburn Wine and Spirits","#010101"
"Tom's Wine & Spirits","#010101"
"Central Wine & Spirits","#010101"
"Dillons","#010101"
"Bubbles Wine & Spirits","#010101"
"Burgardt Liquor","#010101"
"Pavilions","#010101"
"Vons","#010101"
"Ralphs","#010101"
